# sequana_coverage thresholds:-3.00,3.00,0.50,0.50 window_size:2001 circular:True gc_window_size:201
# JB409847: [{'mu': 0.85606077220333165, 'sigma': 0.24990500986642308, 'pi': 0.2154707467087344}, {'mu': 1.0075128899677164, 'sigma': 0.049589144912210725, 'pi': 0.78452925329126555}]
chr,pos,cov,gc,rm,scale,zscore
JB409847,5724,267,0.577,774,0.345,-13.4
JB409847,5725,265,0.577,774,0.342,-13.4
JB409847,5726,265,0.577,774,0.342,-13.4
JB409847,5727,265,0.582,774,0.342,-13.4
JB409847,5728,265,0.582,774,0.342,-13.4
JB409847,5729,258,0.582,774,0.333,-13.6
JB409847,5730,257,0.577,774,0.332,-13.6
JB409847,5731,257,0.577,774,0.332,-13.6
JB409847,5732,259,0.577,774,0.335,-13.6
JB409847,5733,256,0.577,774,0.331,-13.6
JB409847,5734,256,0.577,774,0.331,-13.6
JB409847,5735,255,0.577,774,0.329,-13.7
JB409847,5736,254,0.582,774,0.328,-13.7
JB409847,5737,250,0.587,774,0.323,-13.8
JB409847,5738,250,0.592,774,0.323,-13.8
JB409847,5739,248,0.592,774,0.32,-13.9
JB409847,5740,246,0.597,774,0.318,-13.9
JB409847,5741,247,0.602,774,0.319,-13.9
JB409847,5742,244,0.607,774,0.315,-14
JB409847,5743,242,0.607,774,0.313,-14
JB409847,5744,243,0.607,774,0.314,-14
JB409847,5745,242,0.607,774,0.313,-14
JB409847,5746,242,0.602,774,0.313,-14
JB409847,5747,239,0.597,774,0.309,-14.1
JB409847,5748,238,0.602,774,0.307,-14.1
JB409847,5749,237,0.602,774,0.306,-14.1
JB409847,5750,235,0.602,774,0.304,-14.2
JB409847,5751,235,0.607,774,0.304,-14.2
JB409847,5752,234,0.612,774,0.302,-14.2
JB409847,5753,231,0.617,774,0.298,-14.3
JB409847,5754,228,0.617,774,0.295,-14.4
JB409847,5755,233,0.617,774,0.301,-14.2
JB409847,5756,233,0.612,774,0.301,-14.2
JB409847,5757,233,0.612,774,0.301,-14.2
JB409847,5758,235,0.617,774,0.304,-14.2
JB409847,5759,235,0.617,774,0.304,-14.2
JB409847,5760,233,0.612,774,0.301,-14.2
JB409847,5761,231,0.612,774,0.298,-14.3
JB409847,5762,233,0.607,774,0.301,-14.2
JB409847,5763,231,0.607,774,0.298,-14.3
JB409847,5764,230,0.607,774,0.297,-14.3
JB409847,5765,231,0.612,774,0.298,-14.3
JB409847,5766,229,0.607,774,0.296,-14.4
JB409847,5767,227,0.607,774,0.293,-14.4
JB409847,5768,226,0.607,774,0.292,-14.4
JB409847,5769,225,0.607,774,0.291,-14.5
JB409847,5770,226,0.607,774,0.292,-14.4
JB409847,5771,226,0.612,774,0.292,-14.4
JB409847,5772,223,0.612,774,0.288,-14.5
JB409847,5773,225,0.612,774,0.291,-14.5
JB409847,5774,223,0.612,774,0.288,-14.5
JB409847,5775,220,0.612,774,0.284,-14.6
JB409847,5776,220,0.612,774,0.284,-14.6
JB409847,5777,220,0.612,774,0.284,-14.6
JB409847,5778,220,0.607,774,0.284,-14.6
JB409847,5779,219,0.607,774,0.283,-14.6
JB409847,5780,216,0.612,774,0.279,-14.7
JB409847,5781,212,0.612,774,0.274,-14.8
JB409847,5782,208,0.617,774,0.269,-14.9
JB409847,5783,205,0.617,774,0.265,-15
JB409847,5784,202,0.622,774,0.261,-15.1
JB409847,5785,201,0.627,774,0.26,-15.1
JB409847,5786,201,0.627,774,0.26,-15.1
JB409847,5787,199,0.632,774,0.257,-15.1
JB409847,5788,195,0.637,774,0.252,-15.2
JB409847,5789,193,0.632,774,0.249,-15.3
JB409847,5790,193,0.637,774,0.249,-15.3
JB409847,5791,195,0.637,774,0.252,-15.2
JB409847,5792,194,0.637,774,0.251,-15.3
JB409847,5793,195,0.642,774,0.252,-15.2
JB409847,5794,195,0.642,774,0.252,-15.2
JB409847,5795,189,0.647,774,0.244,-15.4
JB409847,5796,188,0.652,774,0.243,-15.4
JB409847,5797,186,0.647,774,0.24,-15.5
JB409847,5798,185,0.647,774,0.239,-15.5
JB409847,5799,183,0.647,774,0.236,-15.5
JB409847,5800,182,0.652,774,0.235,-15.6
JB409847,5801,181,0.657,774,0.234,-15.6
JB409847,5802,181,0.652,774,0.234,-15.6
JB409847,5803,182,0.652,774,0.235,-15.6
JB409847,5804,183,0.647,774,0.236,-15.5
JB409847,5805,188,0.647,774,0.243,-15.4
JB409847,5806,188,0.652,774,0.243,-15.4
JB409847,5807,189,0.652,774,0.244,-15.4
JB409847,5808,188,0.652,774,0.243,-15.4
JB409847,5809,184,0.657,774,0.238,-15.5
JB409847,5810,185,0.657,774,0.239,-15.5
JB409847,5811,184,0.657,774,0.238,-15.5
JB409847,5812,183,0.652,774,0.236,-15.5
JB409847,5813,185,0.657,774,0.239,-15.5
JB409847,5814,184,0.652,774,0.238,-15.5
JB409847,5815,190,0.652,774,0.245,-15.4
JB409847,5816,188,0.652,774,0.243,-15.4
JB409847,5817,188,0.652,774,0.243,-15.4
JB409847,5818,188,0.647,774,0.243,-15.4
JB409847,5819,187,0.647,774,0.242,-15.4
JB409847,5820,188,0.652,774,0.243,-15.4
JB409847,5821,193,0.652,774,0.249,-15.3
JB409847,5822,192,0.657,774,0.248,-15.3
JB409847,5823,192,0.657,774,0.248,-15.3
JB409847,5824,191,0.657,774,0.247,-15.3
JB409847,5825,189,0.652,774,0.244,-15.4
JB409847,5826,185,0.652,774,0.239,-15.5
JB409847,5827,186,0.657,774,0.24,-15.5
JB409847,5828,190,0.652,774,0.245,-15.4
JB409847,5829,188,0.652,774,0.243,-15.4
JB409847,5830,188,0.647,774,0.243,-15.4
JB409847,5831,188,0.647,774,0.243,-15.4
JB409847,5832,188,0.652,774,0.243,-15.4
JB409847,5833,186,0.652,774,0.24,-15.5
JB409847,5834,186,0.647,774,0.24,-15.5
JB409847,5835,181,0.647,774,0.234,-15.6
JB409847,5836,189,0.652,774,0.244,-15.4
JB409847,5837,189,0.652,774,0.244,-15.4
JB409847,5838,189,0.652,774,0.244,-15.4
JB409847,5839,192,0.652,774,0.248,-15.3
JB409847,5840,192,0.652,774,0.248,-15.3
JB409847,5841,199,0.652,774,0.257,-15.1
JB409847,5842,199,0.647,774,0.257,-15.1
JB409847,5843,201,0.652,774,0.26,-15.1
JB409847,5844,201,0.652,774,0.26,-15.1
JB409847,5845,203,0.647,774,0.262,-15
JB409847,5846,201,0.642,774,0.26,-15.1
JB409847,5847,200,0.647,774,0.258,-15.1
JB409847,5848,201,0.652,774,0.26,-15.1
JB409847,5849,201,0.647,774,0.26,-15.1
JB409847,5850,202,0.652,774,0.261,-15.1
JB409847,5851,201,0.647,774,0.26,-15.1
JB409847,5852,203,0.647,774,0.262,-15
JB409847,5853,201,0.642,774,0.26,-15.1
JB409847,5854,199,0.647,774,0.257,-15.1
JB409847,5855,199,0.652,774,0.257,-15.1
JB409847,5856,198,0.647,774,0.256,-15.2
JB409847,5857,197,0.642,774,0.255,-15.2
JB409847,5858,200,0.647,774,0.258,-15.1
JB409847,5859,198,0.642,774,0.256,-15.2
JB409847,5860,199,0.647,774,0.257,-15.1
JB409847,5861,200,0.647,774,0.258,-15.1
JB409847,5862,199,0.652,774,0.257,-15.1
JB409847,5863,202,0.652,774,0.261,-15.1
JB409847,5864,201,0.652,774,0.26,-15.1
JB409847,5865,199,0.652,774,0.257,-15.1
JB409847,5866,199,0.652,774,0.257,-15.1
JB409847,5867,198,0.652,774,0.256,-15.2
JB409847,5868,206,0.652,774,0.266,-15
JB409847,5869,208,0.652,774,0.269,-14.9
JB409847,5870,209,0.657,774,0.27,-14.9
JB409847,5871,210,0.662,774,0.271,-14.8
JB409847,5872,210,0.667,774,0.271,-14.8
JB409847,5873,210,0.667,774,0.271,-14.8
JB409847,5874,210,0.672,774,0.271,-14.8
JB409847,5875,211,0.672,774,0.273,-14.8
JB409847,5876,211,0.672,774,0.273,-14.8
JB409847,5877,211,0.672,774,0.273,-14.8
JB409847,5878,211,0.667,774,0.273,-14.8
JB409847,5879,211,0.667,774,0.273,-14.8
JB409847,5880,216,0.667,774,0.279,-14.7
JB409847,5881,217,0.667,774,0.28,-14.7
JB409847,5882,216,0.672,774,0.279,-14.7
JB409847,5883,215,0.672,774,0.278,-14.7
JB409847,5884,213,0.677,774,0.275,-14.8
JB409847,5885,213,0.682,774,0.275,-14.8
JB409847,5886,211,0.687,774,0.273,-14.8
JB409847,5887,211,0.687,774,0.273,-14.8
JB409847,5888,212,0.687,774,0.274,-14.8
JB409847,5889,212,0.682,774,0.274,-14.8
JB409847,5890,214,0.682,774,0.276,-14.7
JB409847,5891,215,0.682,774,0.278,-14.7
JB409847,5892,217,0.687,774,0.28,-14.7
JB409847,5893,218,0.692,774,0.282,-14.6
JB409847,5894,220,0.692,774,0.284,-14.6
JB409847,5895,219,0.692,774,0.283,-14.6
JB409847,5896,220,0.697,774,0.284,-14.6
JB409847,5897,220,0.697,774,0.284,-14.6
JB409847,5898,220,0.697,774,0.284,-14.6
JB409847,5899,220,0.697,774,0.284,-14.6
JB409847,5900,225,0.701,774,0.291,-14.5
JB409847,5901,226,0.706,774,0.292,-14.4
JB409847,5902,226,0.706,774,0.292,-14.4
JB409847,5903,228,0.706,774,0.295,-14.4
JB409847,5904,228,0.706,774,0.295,-14.4
JB409847,5905,229,0.711,774,0.296,-14.4
JB409847,5906,230,0.706,774,0.297,-14.3
JB409847,5907,228,0.706,774,0.295,-14.4
JB409847,5908,228,0.706,774,0.295,-14.4
JB409847,5909,228,0.711,774,0.295,-14.4
JB409847,5910,228,0.716,774,0.295,-14.4
JB409847,5911,228,0.716,774,0.295,-14.4
JB409847,5912,230,0.716,774,0.297,-14.3
JB409847,5913,234,0.716,774,0.302,-14.2
JB409847,5914,234,0.721,774,0.302,-14.2
JB409847,5915,236,0.721,774,0.305,-14.2
JB409847,5916,240,0.716,774,0.31,-14.1
JB409847,5917,239,0.716,774,0.309,-14.1
JB409847,5918,241,0.716,774,0.311,-14
JB409847,5919,247,0.721,774,0.319,-13.9
JB409847,5920,248,0.721,774,0.32,-13.9
JB409847,5921,247,0.721,774,0.319,-13.9
JB409847,5922,250,0.721,774,0.323,-13.8
JB409847,5923,250,0.721,774,0.323,-13.8
JB409847,5924,248,0.721,774,0.32,-13.9
JB409847,5925,247,0.716,774,0.319,-13.9
JB409847,5926,249,0.716,774,0.322,-13.8
JB409847,5927,251,0.716,774,0.324,-13.8
JB409847,5928,252,0.716,774,0.326,-13.8
JB409847,5929,252,0.716,774,0.326,-13.8
JB409847,5930,252,0.711,774,0.326,-13.8
JB409847,5931,258,0.716,774,0.333,-13.6
JB409847,5932,259,0.711,774,0.335,-13.6
JB409847,5933,257,0.711,774,0.332,-13.6
JB409847,5934,257,0.706,774,0.332,-13.6
JB409847,5935,256,0.706,774,0.331,-13.6
JB409847,5936,263,0.706,774,0.34,-13.5
JB409847,5937,263,0.701,774,0.34,-13.5
JB409847,5938,264,0.701,774,0.341,-13.4
JB409847,5939,267,0.701,774,0.345,-13.4
JB409847,5940,269,0.697,774,0.348,-13.3
JB409847,5941,270,0.697,774,0.349,-13.3
JB409847,5942,270,0.697,774,0.349,-13.3
JB409847,5943,271,0.697,774,0.35,-13.3
JB409847,5944,272,0.697,774,0.351,-13.2
JB409847,5945,272,0.692,774,0.351,-13.2
JB409847,5946,272,0.687,774,0.351,-13.2
JB409847,5947,274,0.692,774,0.354,-13.2
JB409847,5948,274,0.697,774,0.354,-13.2
JB409847,5949,275,0.692,774,0.355,-13.2
JB409847,5950,275,0.687,774,0.355,-13.2
JB409847,5951,275,0.682,774,0.355,-13.2
JB409847,5952,275,0.682,774,0.355,-13.2
JB409847,5953,276,0.682,774,0.357,-13.1
JB409847,5954,282,0.677,774,0.364,-13
JB409847,5955,285,0.682,774,0.368,-12.9
JB409847,5956,285,0.677,774,0.368,-12.9
JB409847,5957,284,0.677,774,0.367,-12.9
JB409847,5958,284,0.682,774,0.367,-12.9
JB409847,5959,283,0.682,774,0.366,-12.9
JB409847,5960,284,0.682,774,0.367,-12.9
JB409847,5961,287,0.682,774,0.371,-12.8
JB409847,5962,288,0.682,774,0.372,-12.8
JB409847,5963,289,0.682,774,0.373,-12.8
JB409847,5964,289,0.682,774,0.373,-12.8
JB409847,5965,289,0.682,774,0.373,-12.8
JB409847,5966,290,0.677,774,0.375,-12.8
JB409847,5967,292,0.682,774,0.377,-12.7
JB409847,5968,298,0.682,774,0.385,-12.6
JB409847,5969,299,0.682,774,0.386,-12.5
JB409847,5970,302,0.677,774,0.39,-12.4
JB409847,5971,303,0.677,774,0.391,-12.4
JB409847,5972,303,0.677,774,0.391,-12.4
JB409847,5973,304,0.677,774,0.393,-12.4
JB409847,5974,305,0.682,774,0.394,-12.4
JB409847,5975,305,0.687,774,0.394,-12.4
JB409847,5976,309,0.682,774,0.399,-12.3
JB409847,5977,311,0.682,774,0.402,-12.2
JB409847,5978,314,0.687,774,0.406,-12.1
JB409847,5979,316,0.687,774,0.408,-12.1
JB409847,5980,316,0.692,774,0.408,-12.1
JB409847,5981,317,0.692,774,0.41,-12.1
JB409847,5982,318,0.687,774,0.411,-12
JB409847,5983,319,0.687,774,0.412,-12
JB409847,5984,322,0.687,774,0.416,-11.9
JB409847,5985,322,0.687,774,0.416,-11.9
JB409847,5986,322,0.682,774,0.416,-11.9
JB409847,5987,323,0.682,774,0.417,-11.9
JB409847,5988,324,0.677,774,0.419,-11.9
JB409847,5989,324,0.677,774,0.419,-11.9
JB409847,5990,326,0.677,774,0.421,-11.8
JB409847,5991,326,0.677,774,0.421,-11.8
JB409847,5992,326,0.677,774,0.421,-11.8
JB409847,5993,328,0.677,774,0.424,-11.8
JB409847,5994,332,0.677,774,0.429,-11.7
JB409847,5995,335,0.677,774,0.433,-11.6
JB409847,5996,335,0.672,774,0.433,-11.6
JB409847,5997,336,0.667,774,0.434,-11.6
JB409847,5998,339,0.672,774,0.438,-11.5
JB409847,5999,339,0.667,774,0.438,-11.5
JB409847,6000,340,0.667,774,0.439,-11.5
JB409847,6001,342,0.667,774,0.442,-11.4
JB409847,6002,345,0.667,774,0.446,-11.3
JB409847,6003,345,0.672,774,0.446,-11.3
JB409847,6004,346,0.672,774,0.447,-11.3
JB409847,6005,352,0.677,774,0.455,-11.1
JB409847,6006,353,0.672,774,0.456,-11.1
JB409847,6007,355,0.672,774,0.459,-11.1
JB409847,6008,359,0.667,774,0.464,-11
JB409847,6009,358,0.667,774,0.463,-11
JB409847,6010,360,0.662,774,0.465,-10.9
JB409847,6011,361,0.662,774,0.466,-10.9
JB409847,6012,362,0.662,774,0.468,-10.9
JB409847,6013,362,0.662,774,0.468,-10.9
JB409847,6014,364,0.657,774,0.47,-10.8
JB409847,6015,365,0.657,774,0.472,-10.8
JB409847,6016,366,0.657,774,0.473,-10.8
JB409847,6017,366,0.657,774,0.473,-10.8
JB409847,6018,371,0.662,774,0.479,-10.7
JB409847,6019,371,0.667,774,0.479,-10.7
JB409847,6020,374,0.662,774,0.483,-10.6
JB409847,6021,374,0.662,774,0.483,-10.6
JB409847,6022,377,0.657,774,0.487,-10.5
JB409847,6023,380,0.652,774,0.491,-10.4
JB409847,6024,384,0.652,774,0.496,-10.3
JB409847,6025,385,0.652,774,0.497,-10.3
JB409847,6026,389,0.657,774,0.503,-10.2
JB409847,6027,393,0.662,774,0.508,-10.1
JB409847,6028,395,0.662,774,0.51,-10
JB409847,6029,398,0.667,774,0.514,-9.95
JB409847,6030,399,0.667,774,0.516,-9.92
JB409847,6031,402,0.667,774,0.519,-9.84
JB409847,6032,402,0.667,774,0.519,-9.84
JB409847,6033,405,0.667,774,0.523,-9.77
JB409847,6034,407,0.667,774,0.526,-9.71
JB409847,6035,412,0.672,774,0.532,-9.58
JB409847,6036,414,0.667,774,0.535,-9.53
JB409847,6037,414,0.667,774,0.535,-9.53
JB409847,6038,415,0.672,774,0.536,-9.5
JB409847,6039,417,0.672,774,0.539,-9.45
JB409847,6040,419,0.672,774,0.541,-9.4
JB409847,6041,421,0.672,774,0.544,-9.35
JB409847,6042,422,0.677,774,0.545,-9.32
JB409847,6043,423,0.677,774,0.547,-9.3
JB409847,6044,428,0.672,774,0.553,-9.17
JB409847,6045,429,0.672,774,0.554,-9.14
JB409847,6046,431,0.677,774,0.557,-9.09
JB409847,6047,432,0.682,774,0.558,-9.06
JB409847,6048,434,0.682,774,0.561,-9.01
JB409847,6049,434,0.682,774,0.561,-9.01
JB409847,6050,437,0.687,774,0.565,-8.93
JB409847,6051,438,0.687,774,0.566,-8.91
JB409847,6052,442,0.692,774,0.571,-8.8
JB409847,6053,447,0.697,774,0.578,-8.67
JB409847,6054,452,0.697,774,0.584,-8.54
JB409847,6055,454,0.697,774,0.587,-8.49
JB409847,6056,454,0.697,774,0.587,-8.49
JB409847,6057,454,0.701,774,0.587,-8.49
JB409847,6058,458,0.701,774,0.592,-8.38
JB409847,6059,460,0.701,774,0.594,-8.33
JB409847,6060,464,0.706,774,0.599,-8.23
JB409847,6061,463,0.706,774,0.598,-8.25
JB409847,6062,465,0.701,774,0.601,-8.2
JB409847,6063,464,0.697,774,0.599,-8.23
JB409847,6064,469,0.697,774,0.606,-8.1
JB409847,6065,473,0.697,774,0.611,-7.99
JB409847,6066,473,0.697,774,0.611,-7.99
JB409847,6067,475,0.697,774,0.614,-7.94
JB409847,6068,474,0.692,774,0.612,-7.97
JB409847,6069,474,0.687,774,0.612,-7.97
JB409847,6070,475,0.687,774,0.614,-7.94
JB409847,6071,482,0.687,774,0.623,-7.76
JB409847,6072,482,0.682,774,0.623,-7.76
JB409847,6073,486,0.682,774,0.628,-7.66
JB409847,6074,489,0.682,774,0.632,-7.58
JB409847,6075,496,0.677,774,0.641,-7.39
JB409847,6076,496,0.682,774,0.641,-7.39
JB409847,6077,503,0.687,774,0.65,-7.21
JB409847,6078,507,0.692,774,0.655,-7.11
JB409847,6079,508,0.692,774,0.656,-7.08
JB409847,6080,508,0.692,774,0.656,-7.08
JB409847,6081,508,0.697,774,0.656,-7.08
JB409847,6082,508,0.697,774,0.656,-7.08
JB409847,6083,508,0.697,774,0.656,-7.08
JB409847,6084,516,0.697,774,0.667,-6.87
JB409847,6085,517,0.697,774,0.668,-6.85
JB409847,6086,519,0.692,774,0.671,-6.8
JB409847,6087,518,0.687,774,0.669,-6.82
JB409847,6088,518,0.687,774,0.669,-6.82
JB409847,6089,522,0.687,774,0.674,-6.72
JB409847,6090,522,0.692,774,0.674,-6.72
JB409847,6091,531,0.692,774,0.686,-6.48
JB409847,6092,530,0.692,774,0.685,-6.51
JB409847,6093,531,0.687,774,0.686,-6.48
JB409847,6094,532,0.682,774,0.687,-6.46
JB409847,6095,535,0.682,774,0.691,-6.38
JB409847,6096,533,0.682,774,0.689,-6.43
JB409847,6097,536,0.677,774,0.693,-6.35
JB409847,6098,537,0.682,774,0.694,-6.33
JB409847,6099,539,0.682,774,0.696,-6.27
JB409847,6100,543,0.687,774,0.702,-6.17
JB409847,6101,548,0.687,774,0.708,-6.04
JB409847,6102,551,0.687,774,0.712,-5.96
JB409847,6103,552,0.687,774,0.713,-5.94
JB409847,6104,552,0.687,774,0.713,-5.94
JB409847,6105,551,0.682,774,0.712,-5.96
JB409847,6106,555,0.682,774,0.717,-5.86
JB409847,6107,557,0.687,774,0.72,-5.81
JB409847,6108,559,0.687,774,0.722,-5.75
JB409847,6109,563,0.687,774,0.727,-5.65
JB409847,6110,564,0.682,774,0.729,-5.62
JB409847,6111,564,0.677,774,0.729,-5.62
JB409847,6112,564,0.672,774,0.729,-5.62
JB409847,6113,569,0.677,774,0.735,-5.49
JB409847,6114,568,0.677,774,0.734,-5.52
JB409847,6115,569,0.672,774,0.735,-5.49
JB409847,6116,565,0.677,774,0.73,-5.6
JB409847,6117,563,0.677,774,0.727,-5.65
JB409847,6118,571,0.672,774,0.738,-5.44
JB409847,6119,567,0.672,774,0.733,-5.54
JB409847,6120,565,0.667,774,0.73,-5.6
JB409847,6121,568,0.667,774,0.734,-5.52
JB409847,6122,568,0.667,774,0.734,-5.52
JB409847,6123,570,0.662,774,0.736,-5.47
JB409847,6124,570,0.657,774,0.736,-5.47
JB409847,6125,572,0.657,774,0.739,-5.41
JB409847,6126,571,0.662,774,0.738,-5.44
JB409847,6127,570,0.662,774,0.736,-5.47
JB409847,6128,570,0.657,774,0.736,-5.47
JB409847,6129,570,0.657,774,0.736,-5.47
JB409847,6130,573,0.652,774,0.74,-5.39
JB409847,6131,574,0.657,774,0.742,-5.36
JB409847,6132,580,0.657,774,0.749,-5.21
JB409847,6133,587,0.662,774,0.758,-5.02
JB409847,6134,590,0.657,774,0.762,-4.95
JB409847,6135,592,0.662,774,0.765,-4.89
JB409847,6136,590,0.657,774,0.762,-4.95
JB409847,6137,589,0.657,774,0.761,-4.97
JB409847,6138,593,0.662,774,0.766,-4.87
JB409847,6139,594,0.657,774,0.767,-4.84
JB409847,6140,597,0.652,774,0.771,-4.76
JB409847,6141,596,0.657,774,0.77,-4.79
JB409847,6142,596,0.652,774,0.77,-4.79
JB409847,6143,595,0.652,774,0.769,-4.82
JB409847,6144,596,0.652,774,0.77,-4.79
JB409847,6145,603,0.652,774,0.779,-4.61
JB409847,6146,609,0.657,774,0.787,-4.45
JB409847,6147,608,0.662,774,0.786,-4.48
JB409847,6148,609,0.662,774,0.787,-4.45
JB409847,6149,613,0.662,774,0.792,-4.35
JB409847,6150,612,0.662,774,0.791,-4.37
JB409847,6151,613,0.667,774,0.792,-4.35
JB409847,6152,615,0.667,774,0.795,-4.29
JB409847,6153,613,0.667,774,0.792,-4.35
JB409847,6154,616,0.667,774,0.796,-4.27
JB409847,6155,616,0.667,774,0.796,-4.27
JB409847,6156,615,0.667,774,0.795,-4.29
JB409847,6157,625,0.672,774,0.807,-4.03
JB409847,6158,622,0.672,774,0.804,-4.11
JB409847,6159,625,0.672,774,0.807,-4.03
JB409847,6160,627,0.667,774,0.81,-3.98
JB409847,6161,629,0.662,774,0.813,-3.93
JB409847,6162,631,0.667,774,0.815,-3.88
JB409847,6163,631,0.662,774,0.815,-3.88
JB409847,6164,632,0.667,774,0.817,-3.85
JB409847,6165,632,0.667,774,0.817,-3.85
JB409847,6166,633,0.662,774,0.818,-3.83
JB409847,6167,630,0.662,774,0.814,-3.9
JB409847,6168,632,0.662,774,0.817,-3.85
JB409847,6169,633,0.662,774,0.818,-3.83
JB409847,6170,634,0.662,774,0.819,-3.8
JB409847,6171,636,0.662,774,0.822,-3.75
JB409847,6172,636,0.662,774,0.822,-3.75
JB409847,6173,637,0.662,774,0.823,-3.72
JB409847,6174,638,0.657,774,0.824,-3.69
JB409847,6175,639,0.652,774,0.826,-3.67
JB409847,6176,642,0.647,774,0.829,-3.59
JB409847,6177,641,0.647,774,0.828,-3.62
JB409847,6178,640,0.647,774,0.827,-3.64
JB409847,6179,644,0.642,774,0.832,-3.54
JB409847,6180,646,0.642,774,0.835,-3.49
JB409847,6181,647,0.642,774,0.836,-3.46
JB409847,6182,645,0.637,774,0.833,-3.51
JB409847,6183,644,0.637,774,0.832,-3.54
JB409847,6184,645,0.632,774,0.833,-3.51
JB409847,6185,648,0.632,774,0.837,-3.43
JB409847,6186,654,0.632,774,0.845,-3.28
JB409847,6187,656,0.632,774,0.848,-3.23
JB409847,6188,660,0.632,774,0.853,-3.12
JB409847,6189,661,0.637,774,0.854,-3.1
JB409847,6190,664,0.632,774,0.858,-3.02
JB409847,6191,666,0.637,774,0.86,-2.97
JB409847,6192,668,0.632,774,0.863,-2.91
JB409847,6193,667,0.632,774,0.862,-2.94
JB409847,6194,667,0.632,774,0.862,-2.94
JB409847,6195,668,0.632,774,0.863,-2.91
JB409847,6196,666,0.632,774,0.86,-2.97
JB409847,6197,667,0.632,774,0.862,-2.94
JB409847,6198,668,0.637,774,0.863,-2.91
JB409847,6199,670,0.637,774,0.866,-2.86
JB409847,6200,675,0.637,774,0.872,-2.73
JB409847,6201,679,0.637,774,0.877,-2.63
JB409847,6202,681,0.632,774,0.88,-2.57
JB409847,6203,679,0.632,774,0.877,-2.63
JB409847,6204,682,0.627,774,0.881,-2.55
JB409847,6205,683,0.627,774,0.882,-2.52
JB409847,6206,688,0.622,774,0.889,-2.39
JB409847,6207,691,0.622,774,0.893,-2.31
JB409847,6208,690,0.622,774,0.891,-2.34
JB409847,6209,697,0.622,774,0.901,-2.16
JB409847,6210,705,0.627,774,0.911,-1.95
JB409847,6211,709,0.632,774,0.916,-1.85
JB409847,6212,710,0.632,774,0.917,-1.82
JB409847,6213,710,0.632,774,0.917,-1.82
JB409847,6214,715,0.632,774,0.924,-1.69
JB409847,6215,717,0.637,774,0.926,-1.64
JB409847,6216,720,0.642,774,0.93,-1.56
JB409847,6217,723,0.642,774,0.934,-1.48
JB409847,6218,720,0.642,774,0.93,-1.56
JB409847,6219,723,0.637,774,0.934,-1.48
JB409847,6220,725,0.632,774,0.937,-1.43
JB409847,6221,728,0.632,774,0.941,-1.35
JB409847,6222,728,0.627,774,0.941,-1.35
JB409847,6223,732,0.632,774,0.946,-1.25
JB409847,6224,735,0.637,774,0.95,-1.17
JB409847,6225,741,0.632,774,0.957,-1.01
JB409847,6226,740,0.632,774,0.956,-1.04
JB409847,6227,742,0.627,774,0.959,-0.985
JB409847,6228,741,0.627,774,0.957,-1.01
JB409847,6229,742,0.622,774,0.959,-0.985
JB409847,6230,743,0.622,774,0.96,-0.959
JB409847,6231,741,0.622,774,0.957,-1.01
JB409847,6232,741,0.627,774,0.957,-1.01
JB409847,6233,740,0.627,774,0.956,-1.04
JB409847,6234,738,0.627,774,0.953,-1.09
JB409847,6235,740,0.622,774,0.956,-1.04
JB409847,6236,738,0.617,774,0.953,-1.09
JB409847,6237,744,0.617,774,0.961,-0.933
JB409847,6238,749,0.617,774,0.968,-0.803
JB409847,6239,752,0.617,774,0.972,-0.725
JB409847,6240,760,0.617,774,0.982,-0.516
JB409847,6241,758,0.612,774,0.979,-0.568
JB409847,6242,760,0.612,774,0.982,-0.516
JB409847,6243,765,0.607,774,0.988,-0.386
JB409847,6244,766,0.607,774,0.99,-0.36
JB409847,6245,765,0.607,774,0.988,-0.386
JB409847,6246,770,0.607,774,0.995,-0.256
JB409847,6247,775,0.602,774,1,-0.125
JB409847,6248,776,0.597,774,1,-0.0994
JB409847,6249,774,0.597,774,1,-0.152
JB409847,6250,775,0.592,774,1,-0.125
JB409847,6251,774,0.592,774,1,-0.152
JB409847,6252,776,0.587,774,1,-0.0994
JB409847,6253,786,0.587,774,1.02,0.161
JB409847,6254,785,0.582,774,1.01,0.135
JB409847,6255,783,0.582,774,1.01,0.083
JB409847,6256,792,0.582,774,1.02,0.317
JB409847,6257,792,0.582,774,1.02,0.317
JB409847,6258,792,0.577,774,1.02,0.317
JB409847,6259,798,0.577,774,1.03,0.474
JB409847,6260,799,0.572,774,1.03,0.5
JB409847,6261,801,0.572,774,1.03,0.552
JB409847,6262,802,0.567,774,1.04,0.578
JB409847,6263,800,0.572,774,1.03,0.526
JB409847,6264,805,0.577,774,1.04,0.656
JB409847,6265,808,0.572,774,1.04,0.734
JB409847,6266,808,0.567,774,1.04,0.734
JB409847,6267,812,0.567,774,1.05,0.839
JB409847,6268,813,0.562,774,1.05,0.865
JB409847,6269,811,0.562,774,1.05,0.812
JB409847,6270,811,0.567,774,1.05,0.812
JB409847,6271,809,0.567,774,1.05,0.76
JB409847,6272,812,0.567,774,1.05,0.839
JB409847,6273,815,0.567,774,1.05,0.917
JB409847,6274,818,0.567,774,1.06,0.995
JB409847,6275,819,0.562,774,1.06,1.02
JB409847,6276,822,0.567,774,1.06,1.1
JB409847,6277,820,0.562,774,1.06,1.05
JB409847,6278,818,0.557,774,1.06,0.995
